Förkortning	Uttydning
A.	Adolf (i regent­beteckning)
abl.	ablativ
abs.	absolut användning
*abstr.	abstrakt, i abstrakt betydelse
ack.	ackusativ
adj.	adjektiv
adm.	administrativ term
adv.	adverb
*afl.	se avledn.
*afs.	se avs.
*ags.	anglosaxisk, se feng.
akt.	aktiv, (i) aktiv form,aktivum
alban.	albansk
allm.	allmänhet
*allm.	allmän
amerik. eng.	amerikansk-engelsk
anat.	anatomisk term
*andl.	i andlig betydelse
*anf.	anförd
anglofr.	anglofransk
anm.	anmärkning
antropol.	antropologisk term
anv.	användning
*apot.	apotekarterm, se farm.
arab.	arabisk
aram.	arameisk
*ark.	se arkeol.
arkeol.	arkeologisk term
armen.	armenisk
art.	artikel
artill.	artilleri­term
assyr.	assyrisk
*astr.	se astron.
astrol.	astrologisk term
astron.	astronomisk term
avest.	avestisk
avledn.	avledning
avljudsförh.	avljudsförhållande
avs.	avseende
babyl.	babylonisk
bag.	bageri­term
bakteriol.	bakteriologisk term
*balneol.	balneologisk term
baltoslav.	baltoslavisk
bankv.	term inom bank­väsendet
bef.	term inom befästnings­konsten
*bem.	bemärkelse
bergv.	term inom berg­väsendet
best.	bestämd, (i) bestämd form
bet.	betydelse
*bibelövers.	bibel­översättning
bibet.	bibetydelse
bibliogr.	bibliografisk term
bibliot.	term inom biblioteksväsendet
bildh.	term inom bildhuggarkonsten
bildl.	bildlig, i bildlig användning
biodl.	biodlar­term
biol.	biologisk term
bl.	blott
bl. a.	bland annat
blecksl.	bleckslagar­term
Blek.	Blekinge
Bohusl.	Bohuslän
bokb.	bokbindar­term
bokför.	bokförings­term
*bokh.	bokhandels­term
boktr.	boktryckar­term
Bornh.	Bornholm
bot.	botanisk term
br.	brukligt
brandv.	term inom brand­väsendet
bret.	bretonsk
brygg.	bryggeri­term
brännvinsbr.	term inom brännvins­bränningen
bulg.	bulgarisk
byggn.	byggnadsteknisk term
*bärgv.	se bergv.
c.	cirka
cg	centigram
cit.	citat
cl	centiliter
cm	centimeter
cm2	kvadrat­centimeter
cm3	kubik­centimeter
d.	(ny)dansk, jfr dan.
Dalsl.	Dalsland
dan.	(ny)dansk, jfr d.
dans.	term inom danskonsten
dat.	dativ
datal.	datalogisk term
dekl.	deklination
demonstr.	demonstrativ
*DENS.	densamme
dep.	deponens
